Bem Pat;Seq;Conta;Descrição Conta;Narrativa;Data Inv.;Plaqueta;Localização;Centro Custo;MARCA;MODELO
15246;0;132010506;EQUIPAMENTOS C.P.D. - COML.;HP NOTEBOOK 6460B;30/11/2016;24503;ARQUIVO;3112;DELL;
15117;0;132010506;EQUIPAMENTOS C.P.D. - COML.;MICROCOMPUTADOR PORTATIL DELL LATITUDE E;30/11/2016;16369;ARQUIVO;3112;DELL;LA.E7440
12141;0;132010506;EQUIPAMENTOS C.P.D. - COML.;PROJETOR DELL 1420 X;30/11/2016;16585;ARQUIVO;3112;DELL;1510X
13917;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE CONDENSADORA HITACHI;30/11/2016;24507;RECEPÇÃO ;3112;HITACH;
13918;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE CONDENSADORA HITACHI;30/11/2016;24509;SAL.REUNIÃO ;3112;HITACH;
16352;0;132010904;MOVEIS E UTENSILIOS - COML.;AR-CONDICIONADO PARA O CD DE CUIABA.;30/11/2016;16352;NI;3112;;
13919;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE CONDENSADORA HITACHI;30/11/2016;24511;TREINAMENTO;3112;HITACH;
13920;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE CONDENSADORA HITACHI;30/11/2016;24512;TREINAMENTO;3112;HITACH;
16215;0;132010506;EQUIPAMENTOS C.P.D. - COML.;PROJETOR MULT. POWERLITE S18;30/11/2016;16215;TREINAMENTO;3112;EPSON;POW S18+
13936;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL PLU 7006,  COM TAMPO EM;30/11/2016;24513;TREINAMENTO;3112;;
13937;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL PLU 7006,  COM TAMPO EM;30/11/2016;24514;TREINAMENTO;3112;;
13938;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL PLU 7006,  COM TAMPO EM;30/11/2016;24515;TREINAMENTO;3112;;
13939;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL PLU 7006,  COM TAMPO EM;30/11/2016;24516;TREINAMENTO;3112;;
13940;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL PLU 7006,  COM TAMPO EM;30/11/2016;24517;TREINAMENTO;3112;;
13941;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL PLU 7006,  COM TAMPO EM;30/11/2016;24518;TREINAMENTO;3112;;
13942;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL PLU 7006,  COM TAMPO EM;30/11/2016;24519;TREINAMENTO;3112;;
13943;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL PLU 7006,  COM TAMPO EM;30/11/2016;24520;TREINAMENTO;3112;;
13944;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL PLU 7006,  COM TAMPO EM;30/11/2016;24521;TREINAMENTO;3112;;
13945;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA TRAPEZOIDAL PLU 7006,  COM TAMPO EM;30/11/2016;24522;TREINAMENTO;3112;;
13946;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA RETANGULAR PLU7022 COM TAMPO EM FIB;30/11/2016;24523;TREINAMENTO;3112;;
13921;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE CONDENSADORA HITACHI;30/11/2016;24524;ARQ. MORTO;3112;HITACH;
13922;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE CONDENSADORA HITACHI;30/11/2016;24525;COPA;3112;HITACH;
13923;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE CONDENSADORA HITACHI;30/11/2016;24527;APOIO TÉC.;2191;HITACH;
13924;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE CONDENSADORA HITACHI;30/11/2016;24529;RECEPÇÃO G.V;2140;HITACH;
13925;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE CONDENSADORA HITACHI;30/11/2016;24530;RECEPÇÃO G.V;2140;HITACH;
13829;0;132010904;MOVEIS E UTENSILIOS - COML.;SOFA 03 LUGARES MILENIO;30/11/2016;24532;RECEPÇÃO G.V;2140;;
13830;0;132010904;MOVEIS E UTENSILIOS - COML.;SOFA 03 LUGARES MILENIO;30/11/2016;24533;RECEPÇÃO G.V;2140;;
13876;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE CONDENSADORA HITACHI CAPAC.18000;30/11/2016;24538;GEREN. VENDA;2140;HITACH;
14581;0;132010904;MOVEIS E UTENSILIOS - COML.;ARMARIO BRANCO COM 3 GAVETAS;30/11/2016;24542;GEREN. VENDA;2140;;
13877;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE CONDENSADORA HITACHI CAPAC.18000;30/11/2016;24553;ADM. CUIABA;3112;HITACH;
16763;0;132010506;EQUIPAMENTOS C.P.D. - COML.;"LATITUDE E7450 (ULTRABOOK - TELA 14"") -";30/11/2016;16760;ADM. CUIABA;3112;DELL;LA.E7450
13878;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE CONDENSADORA HITACHI CAPAC.18000;30/11/2016;24556;ADM. CUIABA;3112;HITACH;
13926;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE CONDENSADORA HITACHI CAPAC.9000;30/11/2016;24561;ADM. CUIABA;3112;HITACH;
15410;0;132010506;EQUIPAMENTOS C.P.D. - COML.;MONITOR HP LDC 18,5;30/11/2016;24565;ADM. CUIABA;3112;HP;L185B
15412;0;132010506;EQUIPAMENTOS C.P.D. - COML.;DESKTOP HP COMPAQ 6200 MT BRASIL BRG216FB24;30/11/2016;24566;ADM. CUIABA;3112;HP;6200
13927;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE CONDENSADORA HITACHI CAPAC.9000;30/11/2016;24567;ADM. CUIABA;3112;HITACH;
15325;0;132010506;EQUIPAMENTOS C.P.D. - COML.;DESKTOP HP COMPAQ 6200 MT BRASIL BRG216FB04;30/11/2016;24574;ADM. CUIABA;3112;HP;6200
15408;0;132010506;EQUIPAMENTOS C.P.D. - COML.;MONITOR HP LDC 18,5;30/11/2016;24575;ADM. CUIABA;3112;HP;L185B
14431;1;132010506;EQUIPAMENTOS C.P.D. - COML.;MICROCOMPUTADOR DELL OPTIPLEX 990 37T72R1;30/11/2016;24578;ADM. CUIABA;3112;DELL;OPT. 990
13866;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA P/ REFEITORIO C/ 04 BANQUETAS ESCAM;30/11/2016;24580;REFEITÓRIO ;3112;;
13867;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA P/ REFEITORIO C/ 04 BANQUETAS ESCAM;30/11/2016;24581;REFEITÓRIO ;3112;;
13868;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA P/ REFEITORIO C/ 04 BANQUETAS ESCAM;30/11/2016;24582;REFEITÓRIO ;3112;;
13869;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA P/ REFEITORIO C/ 04 BANQUETAS ESCAM;30/11/2016;24583;REFEITÓRIO ;3112;;
13928;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE CONDENSADORA HITACHI CAPAC.9000;30/11/2016;24584;REFEITÓRIO ;3112;HITACH;
16816;0;132010904;MOVEIS E UTENSILIOS - COML.;RELÓGIO DE PONTO REP - MODELO MD 0705 QU;30/11/2016;16816;GERAL;3112;MADIS;MD-0705
13831;0;132010904;MOVEIS E UTENSILIOS - COML.;SOFA 03 LUGARES MILENIO;30/11/2016;24589;DESCANSO;3112;;
13825;0;132010904;MOVEIS E UTENSILIOS - COML.;SOFA 03 LUGARES MILENIO.;30/11/2016;24590;DESCANSO;3112;;
14426;0;132010904;MOVEIS E UTENSILIOS - COML.;"TELEVISOR SAMSUNG 32"" LCD SÉRIE 4";30/11/2016;24592;DESCANSO;3112;SAMSUG;32
704786;5;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE CONDENSADORA RAA025H3S 220V/60Hz;30/11/2016;24593;DESCANSO;3112;HITACH;
704786;6;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE CONDENSADORA RAA025H3S 220V/60Hz;30/11/2016;24593;DESCANSO;3112;HITACH;
704786;0;132010904;MOVEIS E UTENSILIOS - COML.;RACK PISO 44USX1000 - GR C/KIT DE VENTIL;30/11/2016;24593;DESCANSO;3112;HITACH;
14550;0;132010904;MOVEIS E UTENSILIOS - COML.;BEBEDOURO MASTER BRANCO LIBELL.;30/11/2016;24603;ADM. CUIABA;3112;LIBELL;
14357;0;132010904;MOVEIS E UTENSILIOS - COML.;BEBEDOURO INDUSTRIAL INOX 50 LTS 220V.;30/11/2016;24605;DEPÓSITO ;3112;RIMAZE;
704786;7;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE CONDENSADORA RAA025H3S 220V/60Hz;30/11/2016;24593;DESCANSO;3112;HITACH;
13871;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA P/ REFEITORIO C/ 04 BANQUETAS ESCAM;30/11/2016;24606;DEPÓSITO ;3112;;
13870;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA P/ REFEITORIO C/ 04 BANQUETAS ESCAM;30/11/2016;24607;DEPÓSITO ;3112;;
13872;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA P/REFEITORIO C/06 BANQUETAS ESCAMOT;30/11/2016;24608;DEPÓSITO ;3112;;
9901;0;132010904;MOVEIS E UTENSILIOS - COML.;REFRIGERADOR ELETROLUX RDE35 110V BRA;30/11/2016;24609;DEPÓSITO ;3112;CONSUL;
13843;0;132010904;MOVEIS E UTENSILIOS - COML.;ARMARIO DE ACO 16 PORTAS 1.98x1.23x0.40;30/11/2016;24611;DEPÓSITO ;3112;;
13844;0;132010904;MOVEIS E UTENSILIOS - COML.;ARMARIO DE ACO 16 PORTAS 1.98x1.23x0.40;30/11/2016;24612;DEPÓSITO ;3112;;
16620;0;132010904;MOVEIS E UTENSILIOS - COML.;ARMÁRIO CORTA-FOGO, ALTURA 2.000mm x LAR;30/11/2016;16620;DEPÓSITO ;3112;;
14356;0;132010904;MOVEIS E UTENSILIOS - COML.;BEBEDOURO INDUSTRIAL INOX 50 LTS 220V.;30/11/2016;24614;MOTORISTAS ;3112;;
12141;1;132010506;EQUIPAMENTOS C.P.D. - COML.;MALETA P/ PROJETOR DELL;30/11/2016;16585;ARQUIVO;3112;DELL;1510X
16763;1;132010506;EQUIPAMENTOS C.P.D. - COML.;MOUSE;30/11/2016;16760;ADM. CUIABA;3112;DELL;LA.E7450
13881;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE EVAPORADORA HITACHI 220V 60HZ.;30/11/2016;24509;NI;3112;;
13879;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE EVAPORADORA HITACHI 220V 60HZ.;30/11/2016;24512;NI;3112;;
13880;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE EVAPORADORA HITACHI 220V 60HZ.;30/11/2016;24511;NI;3112;;
13905;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE EVAPORADORA HITACHI SILVER;30/11/2016;24584;NI;3112;;
13906;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE EVAPORADORA HITACHI SILVER;30/11/2016;24593;NI;3112;;
13907;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE EVAPORADORA HITACHI SILVER;30/11/2016;24538;NI;3112;;
13908;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE EVAPORADORA HITACHI SILVER;30/11/2016;24529;NI;3112;;
13909;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE EVAPORADORA HITACHI SILVER;30/11/2016;24530;NI;3112;;
13910;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE EVAPORADORA HITACHI SILVER;30/11/2016;24507;NI;3112;;
13911;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE EVAPORADORA HITACHI SILVER;30/11/2016;24567;NI;3112;;
13912;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE EVAPORADORA HITACHI SILVER;30/11/2016;24561;NI;3112;;
13913;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE EVAPORADORA HITACHI SILVER;30/11/2016;24556;NI;3112;;
13874;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE EVAPORADORA HITACHI SILVER CAPAC;30/11/2016;24527;NI;3112;;
13875;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE EVAPORADORA HITACHI SILVER CAPAC;30/11/2016;24524;NI;3112;;
13914;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE EVAPORADORA HITACHI SILVER, CAP.;30/11/2016;24553;NI;3112;;
13915;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE EVAPORADORA HITACHI SILVER, CAP.;30/11/2016;24525;NI;3112;;
13916;0;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE EVAPORADORA HITACHI SILVER, CAP.;30/11/2016;13916;NI;3112;;
704786;2;132010904;MOVEIS E UTENSILIOS - COML.;UNIDADE EVAPORADORA HITACHI.;30/11/2016;24593;DESCANSO;3112;HITACH;
704786;8;132010904;MOVEIS E UTENSILIOS - COML.;VOICE PANEL 50 PORTAS CAT 3 FURUKAWA;30/11/2016;24593;DESCANSO;3112;HITACH;
15748;0;135010804;MAQUINAS E ACESSORIOS - COML.;INTERRUPTOR DE CARGA;30/11/2016;15748;NI;3112;;
15825;0;132010904;MOVEIS E UTENSILIOS - COML.;CAIXA E PLACA BASE SIEMENS 1150 PABX;30/11/2016;24595;NI;3112;;
15825;1;132010904;MOVEIS E UTENSILIOS - COML.;INSTALACAO E PROGRAMACAO DE RAMAIS;30/11/2016;24595;NI;3112;;
14401;0;132010904;MOVEIS E UTENSILIOS - COML.;ESTANTE DE ACO 2.00 X 0.94 X 0.40;30/11/2016;14401;NI;3112;;
14402;0;132010904;MOVEIS E UTENSILIOS - COML.;ESTANTE DE ACO 2.00 X 0.94 X 0.40;30/11/2016;14402;NI;3112;;
14403;0;132010904;MOVEIS E UTENSILIOS - COML.;ESTANTE DE ACO 2.00 X 0.94 X 0.40;30/11/2016;14403;NI;3112;;
14404;0;132010904;MOVEIS E UTENSILIOS - COML.;ESTANTE DE ACO 2.00 X 0.94 X 0.40;30/11/2016;14404;NI;3112;;
14405;0;132010904;MOVEIS E UTENSILIOS - COML.;ESTANTE DE ACO 2.00 X 0.94 X 0.40;30/11/2016;14405;NI;3112;;
14406;0;132010904;MOVEIS E UTENSILIOS - COML.;ESTANTE DE ACO 2.00 X 0.94 X 0.40;30/11/2016;14406;NI;3112;;
14407;0;132010904;MOVEIS E UTENSILIOS - COML.;ESTANTE DE ACO 2.00 X 0.94 X 0.40;30/11/2016;14407;NI;3112;;
14408;0;132010904;MOVEIS E UTENSILIOS - COML.;ESTANTE DE ACO 2.00 X 0.94 X 0.40;30/11/2016;14408;NI;3112;;
14409;0;132010904;MOVEIS E UTENSILIOS - COML.;ESTANTE DE ACO 2.00 X 0.94 X 0.40;30/11/2016;14409;NI;3112;;
14410;0;132010904;MOVEIS E UTENSILIOS - COML.;ESTANTE DE ACO 2.00 X 0.94 X 0.40;30/11/2016;14410;NI;3112;;
14411;0;132010904;MOVEIS E UTENSILIOS - COML.;ESTANTE DE ACO 2.00 X 0.94 X 0.40;30/11/2016;14411;NI;3112;;
14412;0;132010904;MOVEIS E UTENSILIOS - COML.;ESTANTE DE ACO 2.00 X 0.94 X 0.40;30/11/2016;14412;NI;3112;;
14413;0;132010904;MOVEIS E UTENSILIOS - COML.;ESTANTE DE ACO 2.00 X 0.94 X 0.40;30/11/2016;14413;NI;3112;;
14414;0;132010904;MOVEIS E UTENSILIOS - COML.;ESTANTE DE ACO 2.00 X 0.94 X 0.40;30/11/2016;14414;NI;3112;;
14415;0;132010904;MOVEIS E UTENSILIOS - COML.;ESTANTE DE ACO 2.00 X 0.94 X 0.40;30/11/2016;14415;NI;3112;;
14416;0;132010904;MOVEIS E UTENSILIOS - COML.;ESTANTE DE ACO 2.00 X 0.94 X 0.40;30/11/2016;14416;NI;3112;;
14417;0;132010904;MOVEIS E UTENSILIOS - COML.;ESTANTE DE ACO 2.00 X 0.94 X 0.40;30/11/2016;14417;NI;3112;;
14418;0;132010904;MOVEIS E UTENSILIOS - COML.;ESTANTE DE ACO 2.00 X 0.94 X 0.40;30/11/2016;14418;NI;3112;;
14419;0;132010904;MOVEIS E UTENSILIOS - COML.;ESTANTE DE ACO 2.00 X 0.94 X 0.40;30/11/2016;14419;NI;3112;;
14420;0;132010904;MOVEIS E UTENSILIOS - COML.;ESTANTE DE ACO 2.00 X 0.94 X 0.40;30/11/2016;14420;NI;3112;;
13936;1;132010904;MOVEIS E UTENSILIOS - COML.;SERVICOS DE MONTAGEM DE MESA BORTOLINI;30/11/2016;24513;TREINAMENTO;3112;;
13937;1;132010904;MOVEIS E UTENSILIOS - COML.;SERVICOS DE MONTAGEM DE MESA BORTOLINI;30/11/2016;24514;TREINAMENTO;3112;;
13938;1;132010904;MOVEIS E UTENSILIOS - COML.;SERVICOS DE MONTAGEM DE MESA BORTOLINI;30/11/2016;24515;TREINAMENTO;3112;;
13939;1;132010904;MOVEIS E UTENSILIOS - COML.;SERVICOS DE MONTAGEM DE MESA BORTOLINI;30/11/2016;24516;TREINAMENTO;3112;;
13940;1;132010904;MOVEIS E UTENSILIOS - COML.;SERVICOS DE MONTAGEM DE MESA BORTOLINI;30/11/2016;24517;TREINAMENTO;3112;;
13941;1;132010904;MOVEIS E UTENSILIOS - COML.;SERVICOS DE MONTAGEM DE MESA BORTOLINI;30/11/2016;24518;TREINAMENTO;3112;;
13942;1;132010904;MOVEIS E UTENSILIOS - COML.;SERVICOS DE MONTAGEM DE MESA BORTOLINI;30/11/2016;24519;TREINAMENTO;3112;;
13943;1;132010904;MOVEIS E UTENSILIOS - COML.;SERVICOS DE MONTAGEM DE MESA BORTOLINI;30/11/2016;24520;TREINAMENTO;3112;;
13944;1;132010904;MOVEIS E UTENSILIOS - COML.;SERVICOS DE MONTAGEM DE MESA BORTOLINI;30/11/2016;24521;TREINAMENTO;3112;;
13945;1;132010904;MOVEIS E UTENSILIOS - COML.;SERVICOS DE MONTAGEM DE MESA BORTOLINI;30/11/2016;24522;TREINAMENTO;3112;;
13946;1;132010904;MOVEIS E UTENSILIOS - COML.;SERVICOS DE MONTAGEM DE MESA BORTOLINI;30/11/2016;24523;TREINAMENTO;3112;;
13882;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA LINHA TELLUS ESTOFADO NA COR AZ;30/11/2016;13882;NI;3112;;
13884;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA LINHA TELLUS ESTOFADO NA COR AZ;30/11/2016;13884;NI;3112;;
13885;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA MODELO PLUS, ENCOSTO ALTO C/BRAC;30/11/2016;13885;NI;3112;;
13886;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA MODELO PLUS, ENCOSTO ALTO C/BRAC;30/11/2016;13886;NI;3112;;
13887;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA MODELO PLUS, ENCOSTO ALTO C/BRAC;30/11/2016;13887;NI;3112;;
13888;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA MODELO PLUS, ENCOSTO ALTO C/BRAC;30/11/2016;13888;NI;3112;;
13889;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA MODELO PLUS, ENCOSTO ALTO C/BRAC;30/11/2016;13889;NI;3112;;
13890;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA MODELO PLUS, ENCOSTO ALTO C/BRAC;30/11/2016;13890;NI;3112;;
13891;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA MODELO PLUS, ENCOSTO ALTO C/BRAC;30/11/2016;13891;NI;3112;;
13892;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA MODELO PLUS, ENCOSTO ALTO C/BRAC;30/11/2016;13892;NI;3112;;
13893;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA MODELO PLUS, ENCOSTO ALTO C/BRAC;30/11/2016;13893;NI;3112;;
13894;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA MODELO PLUS, ENCOSTO ALTO C/BRAC;30/11/2016;13894;NI;3112;;
13895;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA MODELO PLUS, ENCOSTO ALTO C/BRAC;30/11/2016;13895;NI;3112;;
13896;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA MODELO PLUS, ENCOSTO ALTO C/BRAC;30/11/2016;13896;NI;3112;;
13897;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA MODELO PLUS, ENCOSTO ALTO C/BRAC;30/11/2016;13897;NI;3112;;
13898;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA MODELO PLUS, ENCOSTO ALTO C/BRAC;30/11/2016;13898;NI;3112;;
13899;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA MODELO PLUS, ENCOSTO ALTO C/BRAC;30/11/2016;13899;NI;3112;;
13900;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA MODELO PLUS, ENCOSTO ALTO C/BRAC;30/11/2016;13900;NI;3112;;
13901;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA MODELO PLUS, ENCOSTO ALTO C/BRAC;30/11/2016;13901;NI;3112;;
13902;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA MODELO PLUS, ENCOSTO ALTO C/BRAC;30/11/2016;13902;NI;3112;;
13903;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA MODELO PLUS, ENCOSTO ALTO C/BRAC;30/11/2016;13903;NI;3112;;
13904;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA MODELO PLUS, ENCOSTO ALTO C/BRAC;30/11/2016;13904;NI;3112;;
2808;2;132010904;MOVEIS E UTENSILIOS - COML.;CAMERA FOTO DIGITAL SONY CIBERSHOT DSC-S;30/11/2016;2808;NI;2140;;
3746;1;132010506;EQUIPAMENTOS C.P.D. - COML.;NC WINNET BOCAVISION, TP 6906;30/11/2016;3746;NI;3112;;
4972;1;132010904;MOVEIS E UTENSILIOS - COML.;APARELHO DE AR CONDICIONADO SPRINGER;30/11/2016;4972;NI;3112;;
5168;1;132010506;EQUIPAMENTOS C.P.D. - COML.;"MONITOR DELL E551C 15"" SVGA.";30/11/2016;5168;NI;3112;;
5315;1;132010904;MOVEIS E UTENSILIOS - COML.;APARELHO DE AR CONDICIONADO SPRINGER;30/11/2016;5315;NI;3112;;
5315;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA C/ RODIZIO TIPO SECRETARIA;30/11/2016;5315;NI;3112;;
5316;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA ESPERA C/ TRES LUGARES;30/11/2016;5316;NI;3112;;
5317;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA ESPERA C/ TRES LUGARES;30/11/2016;5317;NI;3112;;
5318;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRAS  S/ RODIZIO TIPO SECRETARIA;30/11/2016;5318;NI;3112;;
5319;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRAS  S/ RODIZIO TIPO SECRETARIA;30/11/2016;5319;NI;3112;;
5320;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRAS  S/ RODIZIO TIPO SECRETARIA;30/11/2016;5320;NI;3112;;
5321;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRAS  S/ RODIZIO TIPO SECRETARIA;30/11/2016;5321;NI;3112;;
5322;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA EM CEREJEIRA REDONDA 1,20 X 1,20;30/11/2016;5322;NI;3112;;
5323;0;132010904;MOVEIS E UTENSILIOS - COML.;BALCAO EM CEREJEIRA C/ 2 PORTAS E 3 GAVE;30/11/2016;5323;NI;3112;;
5324;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA EM CEREJEIRA C/ 3 GAVETAS, TP 2194;30/11/2016;5324;NI;3112;;
5325;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA EM CEREJEIRA C/ 3 GAVETAS, TP 2196;30/11/2016;5325;NI;3112;;
5326;0;132010904;MOVEIS E UTENSILIOS - COML.;MESA PARA COMPUTADOR;30/11/2016;5326;NI;3112;;
5327;0;132010904;MOVEIS E UTENSILIOS - COML.;CADEIRA TIPO DIRETOR C/ BRACO RUNAPEL, T;30/11/2016;5327;NI;3112;;
5328;0;132010904;MOVEIS E UTENSILIOS - COML.;BALCAO EM FORMICA C/ 2 PORTAS;30/11/2016;5328;NI;3112;;
5329;0;132010904;MOVEIS E UTENSILIOS - COML.;APARELHO DE AR CONDICIONADO CONSUL 30000;30/11/2016;5329;NI;3112;;
